project,sprint.name,startDate,endDate,velocity,work_capacity,focus_factor,sprint_length,baseline,velocity_increase,P,H,fields.assignee.name,old_devs,old_devs_abs,new_devs_abs,turnover_abs,current_devs_abs,turnover,new_devs,sprint.nbr,TSI,TSI_inv,individual_velocity
mule,SDK Olympus 1,2016-04-27 16:27:32.496000+00:00,2016-05-09 16:27:00+00:00,69.0,102.0,0.6764705882352942,11,26.0,265.38461538461536,3,0,"['mariano.gonzalez' 'Pablo.Musumeci' 'alejandro.garcia' 'esteban.wasinger'
 'juan.desimoni' nan]","['mariano.gonzalez' 'Pablo.Musumeci' 'juan.desimoni' 'alejandro.garcia'
 'esteban.wasinger']",5.0,1.0,0.0,6,0.0,0.045454545454545456,93,2.0,0.5,11.5
mule,Mule Olympus 2,2016-04-28 16:51:14.884000+00:00,2016-05-12 16:51:00+00:00,4.0,24.0,0.16666666666666666,13,26.0,15.384615384615385,1,0,['rodrigo.merino' 'pablo.lagreca.ce' 'gsfernandes'],['mariano.gonzalez' 'rodrigo.merino' 'alejandro.sequeira' 'dfeist'],4.0,2.0,3.0,3,0.21428571428571427,0.14285714285714285,94,6.0,0.16666666666666666,1.3333333333333333
nexus,Sprint 2,2013-09-12 20:48:43.459000+00:00,2013-09-25 20:48:00+00:00,16.0,113.0,0.1415929203539823,12,19.666666666666668,81.35593220338983,1,0,['alin' 'plynch' 'cstamas' nan],['alin' 'cstamas' 'jdillon' 'rseddon' 'plynch'],5.0,1.0,2.0,4,0.1111111111111111,0.05555555555555555,1,1.75,0.5714285714285714,4.0
nexus,Sprint 3,2013-09-26 20:28:42.997000+00:00,2013-10-10 20:28:00+00:00,27.0,58.0,0.46551724137931033,13,19.666666666666668,137.28813559322032,2,0,['cstamas' 'plynch' 'alin' nan 'jdillon'],['alin' 'dsauble' 'mprescott' 'plynch' 'rseddon' 'cstamas'],6.0,2.0,3.0,5,0.13636363636363635,0.09090909090909091,2,2.25,0.4444444444444444,5.4
nexus,Sprint 5,2013-10-24 21:03:20.603000+00:00,2013-11-07 22:03:00+00:00,16.0,386.0,0.04145077720207254,14,19.666666666666668,81.35593220338983,1,0,[nan 'cstamas' 'alin' 'jdillon'],['jtom' 'mprescott'],2.0,4.0,2.0,4,0.16666666666666666,0.3333333333333333,3,2.5,0.4,4.0
nexus,Sprint 6,2013-11-07 21:13:56.132000+00:00,2013-11-14 21:13:00+00:00,5.0,9.0,0.5555555555555556,6,19.666666666666668,25.423728813559322,1,0,['jdillon' nan 'rseddon' 'alin'],['krobinson' 'jtom'],2.0,4.0,2.0,4,0.16666666666666666,0.3333333333333333,4,2.5,0.4,1.25
nexus,Sprint 7,2013-11-14 21:17:19.777000+00:00,2013-11-21 21:17:00+00:00,1.0,1.0,1.0,6,19.666666666666668,5.084745762711864,1,0,['jdillon' 'rseddon' nan 'alin'],['jtom'],1.0,4.0,1.0,4,0.1,0.4,5,2.25,0.4444444444444444,0.25
nexus,Sprint 8,2013-12-02 21:07:35.499000+00:00,2013-12-16 21:07:00+00:00,1.0,13.0,0.07692307692307693,13,19.666666666666668,5.084745762711864,1,0,['alin' 'rseddon' 'jdillon'],['jdillon' 'rseddon' nan 'alin'],4.0,0.0,1.0,3,0.07142857142857142,0.0,6,1.25,0.8,0.3333333333333333
nexus,Sprint 9,2013-12-16 21:12:26.681000+00:00,2013-12-23 21:12:00+00:00,10.0,10.0,1.0,6,19.666666666666668,50.847457627118644,1,0,['rseddon' 'cstamas' 'alin' 'jdillon'],['alin' 'rseddon' 'jdillon'],3.0,1.0,0.0,4,0.0,0.07142857142857142,7,1.25,0.8,2.5
nexus,Sprint 12,2014-02-24 21:10:53.981000+00:00,2014-03-10 20:10:00+00:00,3.0,142.5,0.021052631578947368,13,19.666666666666668,15.254237288135592,1,0,[nan 'plynch'],['rseddon'],1.0,2.0,1.0,2,0.16666666666666666,0.3333333333333333,8,1.75,0.5714285714285714,1.5
nexus,Sprint 14,2014-03-24 20:04:55.347000+00:00,2014-04-07 20:04:00+00:00,1.0,29.5,0.03389830508474576,13,19.666666666666668,5.084745762711864,1,0,['alin'],[nan 'plynch'],2.0,1.0,2.0,1,0.3333333333333333,0.16666666666666666,9,1.75,0.5714285714285714,1.0
nexus,Sprint 16,2014-04-29 20:37:08.202000+00:00,2014-05-13 18:30:00+00:00,2.0,25.0,0.08,13,19.666666666666668,10.169491525423728,1,0,['alin' nan 'jdillon'],[nan 'jdillon'],2.0,1.0,0.0,3,0.0,0.1,10,1.25,0.8,0.6666666666666666
nexus,Sprint 17,2014-05-13 19:33:11.232000+00:00,2014-05-27 18:00:00+00:00,1.5,30.5,0.04918032786885246,13,19.666666666666668,7.627118644067796,1,0,['jdillon' 'alin' 'plynch' 'rseddon'],['alin' nan 'jdillon'],3.0,2.0,1.0,4,0.07142857142857142,0.14285714285714285,11,1.75,0.5714285714285714,0.375
