project,sprint.name,startDate,endDate,velocity,work_capacity,focus_factor,sprint_length,baseline,velocity_increase,P,H,fields.assignee.name,old_devs,old_devs_abs,new_devs_abs,turnover_abs,current_devs_abs,turnover,new_devs,sprint.nbr,TSI,TSI_inv,individual_velocity,sigma_velocity,sigma_focusfactor,zone_velocity,zone_focusfactor
apstud,2012 Sprint 17,2012-08-13 00:00:00+00:00,2012-08-27 00:00:00+00:00,175.0,220.0,0.7954545454545454,14,162.0,108.0246913580247,2,1,['fzadrozny' 'cwilliams' 'nle' 'sgibly' 'mxia'],['fzadrozny' 'mxia' 'cwilliams' 'nle'],4.0,1.0,0.0,5,0.0,0.05555555555555555,14,1.3333333333333333,0.75,35.0,1.8670344827586205,0.0,N,N
apstud,2012 Sprint 18,2012-08-27 00:00:00+00:00,2012-09-10 00:00:00+00:00,81.0,86.0,0.9418604651162792,14,162.0,50.0,1,0,['fzadrozny' 'cwilliams' 'nle' 'ingo' 'sgibly'],['fzadrozny' 'cwilliams' 'nle' 'sgibly' 'mxia'],5.0,1.0,1.0,5,0.05,0.05,15,1.6666666666666667,0.6,16.2,-1.3829885057471263,1.1491144325522187,N,N
apstud,2012 Sprint 19,2012-09-10 00:00:00+00:00,2012-09-24 00:00:00+00:00,86.0,94.0,0.9148936170212766,14,162.0,53.086419753086425,1,0,['cwilliams' 'mxia' 'fzadrozny'],['fzadrozny' 'cwilliams' 'nle' 'ingo' 'sgibly'],5.0,1.0,3.0,3,0.1875,0.0625,16,2.333333333333333,0.42857142857142855,28.66666666666667,0.7721685823754797,0.937456362864821,N,N
apstud,2012 Sprint 20,2012-09-24 00:00:00+00:00,2012-10-08 00:00:00+00:00,26.0,31.0,0.8387096774193549,14,162.0,16.049382716049386,1,1,['fzadrozny' 'cwilliams' 'pinnamuri' 'mxia'],['cwilliams' 'mxia' 'fzadrozny'],3.0,1.0,0.0,4,0.0,0.07142857142857142,17,1.3333333333333333,0.75,6.5,-3.0598620689655167,0.3395019582374497,D-,N
apstud,2012 Sprint 21,2012-10-08 00:00:00+00:00,2012-10-22 00:00:00+00:00,20.0,28.0,0.7142857142857143,14,162.0,12.345679012345679,1,1,['mxia' 'fzadrozny'],['fzadrozny' 'cwilliams' 'pinnamuri' 'mxia'],4.0,0.0,2.0,2,0.16666666666666666,0.0,18,1.6666666666666667,0.6,10.0,-2.454804597701149,-0.6370799458450918,N,N
apstud,2012 Sprint 22,2012-10-22 00:00:00+00:00,2012-11-05 00:00:00+00:00,13.0,21.0,0.6190476190476191,14,162.0,8.024691358024691,1,0,['cwilliams' 'fzadrozny'],['mxia' 'fzadrozny'],2.0,1.0,1.0,2,0.125,0.125,19,1.6666666666666667,0.6,6.5,-3.0598620689655167,-1.3845870823033333,D-,N
apstud,2012 Sprint 23,2012-11-05 00:00:00+00:00,2012-11-19 00:00:00+00:00,10.0,10.0,1.0,14,162.0,6.172839506172839,1,0,['cwilliams' 'mxia' 'pinnamuri'],['cwilliams' 'fzadrozny'],2.0,2.0,1.0,3,0.1,0.2,20,2.0,0.5,3.333333333333333,-3.6072950191570876,1.6054414635296326,D-,N
apstud,2012 Sprint 24,2012-11-19 00:00:00+00:00,2012-12-03 00:00:00+00:00,20.0,20.0,1.0,14,162.0,12.345679012345679,1,0,['cwilliams'],['cwilliams' 'mxia' 'pinnamuri'],3.0,0.0,2.0,1,0.25,0.0,21,1.6666666666666667,0.6,20.0,-0.7260689655172411,1.6054414635296326,N,N
apstud,2012 Sprint 25,2012-12-03 00:00:00+00:00,2012-12-17 00:00:00+00:00,16.0,24.0,0.6666666666666666,14,162.0,9.876543209876543,1,0,['cwilliams'],['cwilliams'],1.0,0.0,0.0,1,0.0,0.0,22,1.0,1.0,16.0,-1.4175632183908045,-1.0108335140742128,N,N
apstud,2013 Sprint 01,2012-12-31 00:00:00+00:00,2013-01-14 00:00:00+00:00,21.0,26.0,0.8076923076923077,14,162.0,12.962962962962964,1,1,['mxia' 'sgibly'],['mxia'],1.0,1.0,0.0,2,0.0,0.16666666666666666,23,1.3333333333333333,0.75,10.5,-2.3683678160919537,0.0960520533735682,N,N
apstud,2013 Sprint 02,2013-01-14 00:00:00+00:00,2013-01-28 00:00:00+00:00,18.0,18.0,1.0,14,162.0,11.111111111111109,1,0,['sgibly' 'pinnamuri'],['mxia' 'sgibly'],2.0,1.0,1.0,2,0.125,0.125,24,1.6666666666666667,0.6,9.0,-2.62767816091954,1.6054414635296326,N,N
