project,sprint.name,sprint.startDate,sprint.endDate,key,sprint.length
dnn,7.2.2 Sprint 2,2014-01-28 19:00:00+00:00,2014-02-11 02:00:00+00:00,639,13 days 07:00:00.000000000
dnn,7.2.2 Sprint 3,2014-02-11 18:00:00+00:00,2014-02-25 02:00:00+00:00,538,13 days 08:00:00.000000000
dnn,7.3.0 Sprint 1,2014-02-25 18:00:49.532000+00:00,2014-03-11 01:00:00+00:00,559,13 days 06:59:10.468000000
dnn,7.3.0 Sprint 2,2014-03-12 17:00:00+00:00,2014-03-25 04:00:00+00:00,654,12 days 11:00:00.000000000
dnn,7.3.0 Sprint 3,2014-03-25 19:00:00+00:00,2014-04-08 05:00:00+00:00,568,13 days 10:00:00.000000000
dnn,7.3.0 Sprint 4,2014-04-08 17:10:00+00:00,2014-04-23 04:00:00+00:00,575,14 days 10:50:00.000000000
dnn,7.3.0 Sprint 5,2014-04-23 17:00:00+00:00,2014-05-06 04:00:00+00:00,380,12 days 11:00:00.000000000
dnn,7.3.0 Sprint 6,2014-05-06 17:00:00+00:00,2014-05-21 01:00:00+00:00,417,14 days 08:00:00.000000000
dnn,7.3.1 Sprint 1,2014-05-21 17:00:00+00:00,2014-06-03 01:00:00+00:00,183,12 days 08:00:00.000000000
dnn,2.0.1 Sprint 2,2014-05-21 19:25:07.183000+00:00,2014-06-04 19:30:00+00:00,1,14 days 00:04:52.817000000
dnn,7.3.1 Sprint 2,2014-06-04 17:00:01.823000+00:00,2014-06-17 01:00:00+00:00,367,12 days 07:59:58.177000000
dnn,7.3.2 Sprint 1,2014-06-17 17:00:00+00:00,2014-07-02 01:00:00+00:00,367,14 days 08:00:00.000000000
dnn,2.0.1 Sprint 4,2014-06-19 17:30:06.730000+00:00,2014-07-02 17:30:00+00:00,100,12 days 23:59:53.270000000
dnn,7.3.2 Sprint 2,2014-07-02 18:00:00+00:00,2014-07-08 01:00:00+00:00,355,5 days 07:00:00.000000000
dnn,2.0.1 Sprint 5,2014-07-03 00:24:26.580000+00:00,2014-07-17 00:24:00+00:00,1,13 days 23:59:33.420000000
dnn,7.3.2 Sprint 3,2014-07-09 16:58:24.162000+00:00,2014-07-22 16:58:00+00:00,292,12 days 23:59:35.838000000
dnn,7.3.2 Sprint 4,2014-07-22 18:19:57.340000+00:00,2014-08-05 18:19:00+00:00,161,13 days 23:59:02.660000000
dnn,2.1 Sprint 2,2014-07-30 21:05:00+00:00,2014-08-13 20:48:00+00:00,2,13 days 23:43:00.000000000
dnn,8.0.0 Sprint 1,2014-08-05 17:16:09.030000+00:00,2014-08-19 17:16:00+00:00,46,13 days 23:59:50.970000000
dnn,2.1 Sprint 3,2014-08-14 18:12:32.329000+00:00,2014-08-28 18:12:00+00:00,19,13 days 23:59:27.671000000
dnn,2.1 Sprint 4,2014-09-02 23:02:34.407000+00:00,2014-09-16 23:02:00+00:00,16,13 days 23:59:25.593000000
dnn,8.0.0 Sprint 3,2014-09-03 17:27:04.108000+00:00,2014-09-17 17:27:00+00:00,36,13 days 23:59:55.892000000
dnn,8.0.0 - Sprint 4,2014-09-18 17:00:00+00:00,2014-09-30 05:00:00+00:00,37,11 days 12:00:00.000000000
dnn,8.0.0 - Sprint 5,2014-09-30 18:00:00+00:00,2014-10-14 05:00:00+00:00,40,13 days 11:00:00.000000000
dnn,2.1 - Feature Frozen,2014-10-02 17:00:00+00:00,2014-10-16 17:00:00+00:00,4,14 days 00:00:00.000000000
dnn,8.0.0 - Sprint 6,2014-10-14 18:00:00+00:00,2014-10-28 05:00:00+00:00,58,13 days 11:00:00.000000000
dnn,3.0 - Sprint 1,2014-10-18 00:01:23.368000+00:00,2014-11-01 00:01:00+00:00,14,13 days 23:59:36.632000000
dnn,8.0.0 - Sprint 7,2014-10-28 18:00:45.491000+00:00,2014-11-11 05:00:00+00:00,78,13 days 10:59:14.509000000
dnn,3.0 - Sprint 2,2014-11-04 05:00:00+00:00,2014-11-18 03:59:00+00:00,15,13 days 22:59:00.000000000
dnn,8.0.0 - Sprint 8,2014-11-11 17:00:00+00:00,2014-11-25 02:00:00+00:00,79,13 days 09:00:00.000000000
